IdAlumno,Genero,FechaNacimiento,Distrito,Provincia,Departamento,FamiliarResponsable,AnioNacimiento
100161814,F,2005-02-09,CARABAYLLO,LIMA ,LIMA,,2005
100161815,M,1998-11-14,LOS OLIVOS,LIMA ,LIMA,,1998
100161816,F,2006-10-10,SAN BORJA,LIMA ,LIMA,Madre,2006
100161817,F,2007-06-01,SAN MARTÍN DE PORRES,LIMA ,LIMA,Madre,2007
100161818,M,2005-02-18,HUANCAYO,HUANCAYO ,JUNÍN,,2005
100161819,M,2006-08-18,PAMPAS,PALLASCA,ÁNCASH,Apoderado,2006
100161820,F,2006-03-10,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Madre,2006
100161823,F,2005-08-23,CHOTA,CHOTA,CAJAMARCA,,2005
100161824,F,2008-06-25,SAN MARTÍN DE PORRES,LIMA ,LIMA,Madre,2008
100161825,M,2007-04-12,LIMA,LIMA ,LIMA,Madre,2007
100161826,F,2006-05-19,CHORRILLOS,LIMA ,LIMA,Padre,2006
100161828,F,2005-10-13,MAZAMARI,SATIPO ,JUNÍN,,2005
100161829,F,2005-09-01,ATE,LIMA ,LIMA,,2005
100161831,F,2005-08-13,SANTIAGO DE SURCO,LIMA ,LIMA,,2005
100161832,M,2006-01-17,PALLANCHACRA,PASCO ,PASCO,Madre,2006
100161833,F,2005-02-18,SANTO DOMINGO DE ACOBAMBA,HUANCAYO ,JUNÍN,,2005
100161834,F,2006-03-25,SAN JUAN BAUTISTA,HUAMANGA,AYACUCHO,Madre,2006
100161836,F,2006-08-22,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Madre,2006
100161837,M,2007-05-31,CUSCO,CUSCO,CUSCO,Padre,2007
100161839,F,2004-05-06,CCATCA,QUISPICANCHI,CUSCO,,2004
100161840,M,2007-04-28,CHORRILLOS,LIMA ,LIMA,Apoderado,2007
100161842,F,2005-11-03,CANGALLO,CANGALLO,AYACUCHO,,2005
100161843,F,2006-04-23,CHOCOPE,ASCOPE ,LA LIBERTAD,Madre,2006
100161844,M,2007-02-27,COLCABAMBA,TAYACAJA,HUANCAVELICA,Madre,2007
100161846,M,2006-12-19,TOCACHE,TOCACHE ,SAN MARTÍN,Padre,2006
100161847,F,2006-06-13,POLVORA,TOCACHE ,SAN MARTÍN,Madre,2006
100161852,F,2007-06-05,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,Madre,2007
100161854,M,2005-01-31,CORRALES,TUMBES ,TUMBES,,2005
100161855,F,2007-09-05,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Madre,2007
100161856,F,2004-01-31,VILLA EL SALVADOR,LIMA ,LIMA,,2004
100161858,F,2007-03-18,VILLA EL SALVADOR,LIMA ,LIMA,Padre,2007
100161859,F,2004-04-20,CHORRILLOS,LIMA ,LIMA,,2004
100161861,F,2006-04-04,HUANCANE,HUANCANÉ ,PUNO,Madre,2006
100161862,F,2006-04-13,SANTIAGO,CUSCO,CUSCO,Madre,2006
100161864,F,2006-04-28,CAJAMARCA,CAJAMARCA,CAJAMARCA,Madre,2006
100161866,M,2005-04-07,ALONSO DE ALVARADO,LAMAS ,SAN MARTÍN,,2005
100161870,F,2006-10-08,AZÁNGARO,AZÁNGARO ,PUNO,Padre,2006
100161872,F,2006-10-10,VILLA EL SALVADOR,LIMA ,LIMA,Padre,2006
100161873,F,2007-04-17,ANCO_HUALLO,CHINCHEROS,APURÍMAC,Padre,2007
100161878,F,2005-10-16,LIMA,LIMA ,LIMA,,2005
100161879,F,2007-04-16,PICHANAQUI,CHANCHAMAYO ,JUNÍN,Madre,2007
100161880,M,2006-03-18,ATE,LIMA ,LIMA,Madre,2006
100161881,F,2007-02-27,SANTA ANITA,LIMA ,LIMA,Madre,2007
100161886,F,2006-12-02,YARINACOCHA,CORONEL PORTILLO ,UCAYALI,Madre,2006
100161889,F,2007-02-19,LOS OLIVOS,LIMA ,LIMA,Apoderado,2007
100161890,F,2002-11-21,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,,2002
100161891,F,2006-10-21,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Madre,2006
100161893,M,2006-02-18,JACOBO HUNTER,AREQUIPA,AREQUIPA,Padre,2006
100161895,F,2007-05-07,CHACCHO,ANTONIO RAYMONDI,ÁNCASH,Madre,2007
100161897,F,2004-07-04,ATE,LIMA ,LIMA,,2004
100161899,F,2006-10-02,VILLA EL SALVADOR,LIMA ,LIMA,Madre,2006
100161901,M,2003-08-14,YUNGAY,YUNGAY,ÁNCASH,,2003
100161902,F,2007-07-10,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Padre,2007
100161903,F,2006-07-27,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Madre,2006
100161905,F,2000-10-19,VILLA EL SALVADOR,LIMA ,LIMA,,2000
100161906,F,2005-10-27,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,,2005
100161907,M,2007-01-03,INDEPENDENCIA,LIMA ,LIMA,Padre,2007
100161909,F,2007-06-09,HUAYLLABAMBA,SIHUAS,ÁNCASH,Madre,2007
100161912,F,2005-12-10,CCORCA,CUSCO,CUSCO,,2005
100161913,F,2007-04-19,AYAHUANCO,HUANTA,AYACUCHO,Madre,2007
100161914,F,2005-11-04,BARRANCA,BARRANCA ,LIMA,,2005
100161915,F,2005-01-27,ATE,LIMA ,LIMA,,2005
100161917,F,2004-06-24,INDEPENDENCIA,LIMA ,LIMA,,2004
100161918,F,2004-09-19,SAN MIGUEL,LIMA ,LIMA,,2004
100161920,M,2006-07-16,JAMALCA,UTCUBAMBA,AMAZONAS,Padre,2006
100161925,F,2005-01-08,SAN ANTONIO,HUAROCHIRÍ ,LIMA,,2005
100161926,M,2004-06-17,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,,2004
100161927,M,2006-10-12,ATE,LIMA ,LIMA,Madre,2006
100161928,F,2007-03-19,SAN MARTÍN DE PORRES,LIMA ,LIMA,Padre,2007
100161930,M,2004-12-21,SANTIAGO DE LUCANAMARCA,HUANCA SANCOS,AYACUCHO,,2004
100161931,M,2007-02-20,INDEPENDENCIA,LIMA ,LIMA,Padre,2007
