IdAlumno,Prediccion,Edad,Genero,Distrito,Provincia,Departamento,FamiliarResponsable,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,GrupoEdad,ExcedePagosAtrasados,TipoColegio,Desercion
100138805,0,21.0,M,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Padre,0,0,NO,NO,Entre18y25,,PUBL,0
100138820,1,20.0,F,LA VICTORIA,CHICLAYO ,LAMBAYEQUE,Alumno,9,18,SI,NO,Entre18y25,1.0,PUBL,1
100138832,0,18.0,F,CHORRILLOS,LIMA ,LIMA,Apoderado,0,0,SI,NO,MenosDe18,1.0,PUBL,1
100138833,0,17.0,F,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,Padre,3,0,NO,NO,MenosDe18,0.0,PRIV,0
100138834,1,19.0,F,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Alumno,21,21,SI,SI,Entre18y25,0.0,PRIV,0
100138838,0,20.0,F,EL AGUSTINO,LIMA ,LIMA,Alumno,6,3,SI,NO,Entre18y25,0.0,PRIV,0
100138841,0,19.0,M,PISCO,PISCO ,ICA,Alumno,3,3,NO,NO,Entre18y25,0.0,PRIV,0
100138847,0,20.0,M,SAN LUIS,LIMA ,LIMA,Alumno,3,3,SI,NO,Entre18y25,0.0,PUBL,1
100138849,0,19.0,M,CERRO COLORADO,AREQUIPA,AREQUIPA,Alumno,0,0,NO,NO,Entre18y25,0.0,PRIV,0
100138863,0,21.0,M,LOS OLIVOS,LIMA ,LIMA,Alumno,2,4,SI,NO,Entre18y25,0.0,PRIV,0
100138873,1,17.0,F,INDEPENDENCIA,LIMA ,LIMA,Padre,12,12,SI,SI,MenosDe18,0.0,PRIV,1
100138874,0,20.0,M,SAN MARTÍN DE PORRES,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,,PUBL,0
100138878,1,17.0,F,LA VICTORIA,LIMA ,LIMA,Apoderado,12,9,SI,NO,MenosDe18,0.0,PUBL,0
100138879,0,17.0,M,CARABAYLLO,LIMA ,LIMA,Madre,6,3,SI,NO,MenosDe18,0.0,PUBL,0
100138890,0,19.0,F,SAN LUIS,CAÑETE ,LIMA,Alumno,6,0,NO,NO,Entre18y25,0.0,PUBL,0
100138920,0,18.0,F,BELLAVISTA,BELLAVISTA ,SAN MARTÍN,Apoderado,9,3,SI,NO,MenosDe18,0.0,PRIV,0
100138932,0,20.0,M,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PUBL,1
100138940,0,18.0,F,LOS OLIVOS,LIMA ,LIMA,Madre,6,3,NO,NO,MenosDe18,0.0,PUBL,0
100138965,0,17.0,F,CHORRILLOS,LIMA ,LIMA,Madre,3,3,NO,NO,MenosDe18,0.0,PUBL,0
100138970,0,19.0,M,CARABAYLLO,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PUBL,0
100138975,0,25.0,F,ATE,LIMA ,LIMA,Alumno,0,2,NO,NO,Mayor25,0.0,PUBL,1
100138989,0,17.0,F,CARABAYLLO,LIMA ,LIMA,Madre,2,0,NO,NO,MenosDe18,1.0,PUBL,1
100138990,0,17.0,F,PUENTE PIEDRA,LIMA ,LIMA,Madre,6,0,SI,NO,MenosDe18,0.0,PRIV,0
