,IdAlumno,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,CantCursosDesaprobados,CantCursos,ExcedeMitadCursosDesaprobados,ProgramaAlu
2226,100062876,0,0,NO,0,1,NO,Nutrición y Dietética
2227,100062882,3,1,NO,1,5,NO,Medicina Humana
2228,100062898,1,2,NO,0,6,NO,Turismo Sostenible y Hotelería
2229,100062902,0,0,NO,0,7,NO,Ing. de Sistemas Empresariales
2230,100062925,0,1,NO,0,4,NO,Medicina Humana
2231,100062926,5,3,SI,2,5,NO,Biología Marina
2232,100062932,5,4,SI,4,5,SI,Medic Veterinaria y Zootecnia
2233,100062941,0,0,NO,0,6,NO,Derecho
2234,100062953,2,2,NO,1,5,NO,Medicina Humana
2235,100062960,0,0,NO,0,4,NO,Medicina Humana
2236,100062993,2,1,NO,0,3,NO,Medicina Humana
2237,100062998,1,2,NO,0,6,NO,Farmacia y Bioquímica
2238,100063002,1,0,NO,0,3,NO,Medicina Humana
2239,100063009,0,1,NO,0,4,NO,Estomatología
2240,100063041,0,1,NO,0,4,NO,Medicina Humana
2241,100063051,0,0,NO,0,5,NO,Adm. Negocios Internacionales
2242,100063055,0,0,NO,0,6,NO,Marketing y Administración
2243,100063065,2,2,NO,0,6,NO,Biología Marina
2244,100063079,0,2,NO,0,3,NO,Medicina Humana
2245,100063099,0,3,NO,0,4,NO,Medic Veterinaria y Zootecnia
2246,100063104,2,1,NO,1,4,NO,Derecho
2247,100063133,0,1,NO,0,5,NO,Ingeniería Ambiental
2248,100063142,2,3,NO,2,4,SI,Medicina Humana
2249,100063155,1,0,NO,0,4,NO,Medic Veterinaria y Zootecnia
2250,100063156,2,2,NO,0,5,NO,Nutrición y Dietética
2251,100063161,1,0,NO,0,3,NO,Medicina Humana
2252,100063162,2,0,NO,0,5,NO,Biología Marina
2253,100063165,3,3,SI,3,3,SI,Medic Veterinaria y Zootecnia
2254,100063169,3,5,NO,2,7,NO,Medic Veterinaria y Zootecnia
2255,100063178,1,1,NO,0,3,NO,Medicina Humana
2256,100063180,1,2,NO,0,4,NO,Medicina Humana
2257,100063181,2,0,NO,0,6,NO,Medic Veterinaria y Zootecnia
2258,100063182,0,0,NO,0,6,NO,Comunicación y Publicidad
2259,100063184,0,2,NO,0,6,NO,Biología Marina
2260,100063193,0,1,NO,1,5,NO,Adm. Negocios Internacionales
2261,100063195,2,1,NO,0,6,NO,Ing. Económica y de Negocios
2262,100063196,1,3,NO,0,6,NO,Medic Veterinaria y Zootecnia
2263,100063199,1,0,NO,0,6,NO,Psicología
2264,100063204,2,0,NO,0,2,NO,Estomatología
2265,100063205,0,1,NO,0,3,NO,Medicina Humana
2266,100063211,1,0,NO,0,5,NO,Medicina Humana
2267,100063212,1,0,NO,0,4,NO,Medicina Humana
2268,100063213,0,0,NO,0,3,NO,Medicina Humana
2269,100063214,2,0,NO,0,7,NO,Marketing y Administración
2270,100063215,1,0,NO,0,6,NO,Derecho
2271,100063223,5,5,SI,2,6,NO,Medicina Humana
2272,100063227,2,2,NO,0,6,NO,Medic Veterinaria y Zootecnia
2273,100063236,2,4,NO,1,6,NO,Farmacia y Bioquímica
2274,100063245,3,1,NO,0,4,NO,Medicina Humana
2275,100063248,0,0,NO,0,1,NO,Ingeniería Ambiental
2276,100063252,1,1,NO,1,2,SI,Ingeniería Ambiental
2277,100063254,1,3,NO,0,6,NO,Farmacia y Bioquímica
2278,100063262,2,2,NO,1,5,NO,Medic Veterinaria y Zootecnia
2279,100063267,0,0,NO,0,7,NO,Estomatología
2280,100063268,1,0,NO,0,4,NO,Medicina Humana
2281,100063274,0,0,NO,0,6,NO,Derecho
2282,100063281,2,2,NO,0,5,NO,Medicina Humana
2283,100063307,1,2,NO,0,3,NO,Medicina Humana
2284,100063330,4,3,NO,0,7,NO,Biología Marina
2285,100063335,2,2,NO,2,2,SI,Medicina Humana
2286,100063357,1,1,NO,0,6,NO,Ingeniería Ambiental
2287,100063383,0,0,NO,0,6,NO,Medicina Humana
2288,100063394,0,0,SI,0,6,NO,Comunicación y Publicidad
2289,100063396,2,1,NO,0,3,NO,Medicina Humana
2290,100063398,3,3,NO,1,6,NO,Biología Marina
2291,100063437,2,3,NO,2,4,SI,Medicina Humana
2292,100063439,1,0,NO,0,4,NO,Medicina Humana
2293,100063442,0,1,NO,0,7,NO,Marketing y Administración
2294,100063443,3,2,SI,0,5,NO,Medic Veterinaria y Zootecnia
2295,100063446,1,0,NO,0,5,NO,Obstetricia
2296,100063449,4,4,SI,2,7,NO,Biología Marina
2297,100063456,0,0,NO,0,5,NO,Medicina Humana
2298,100063467,1,1,SI,0,4,NO,Medic Veterinaria y Zootecnia
2299,100063470,0,0,NO,0,6,NO,Comunicación y Publicidad
2300,100063493,1,0,NO,0,3,NO,Medicina Humana
2301,100063516,1,0,NO,0,7,NO,Psicología
2302,100063519,2,2,SI,0,7,NO,Psicología
2303,100063527,0,0,NO,0,6,NO,Ingeniería Ambiental
2304,100063530,0,0,NO,0,4,NO,Medicina Humana
2305,100063544,2,1,NO,0,5,NO,Medicina Humana
2306,100063602,1,1,NO,0,6,NO,Marketing y Administración
2307,100063611,0,0,NO,0,3,NO,Derecho
2308,100063638,0,0,NO,0,7,NO,Comunicación y Publicidad
2309,100063707,2,2,NO,0,6,NO,Medicina Humana
2310,100063708,2,3,NO,0,5,NO,Medic Veterinaria y Zootecnia
2311,100063718,1,2,NO,2,4,SI,Estomatología
2312,100063725,1,1,NO,0,2,NO,Medicina Humana
2313,100063738,0,0,NO,0,7,NO,Comunicación y Publicidad
2314,100063755,2,3,NO,0,6,NO,Biología Marina
2315,100063767,0,1,NO,0,2,NO,Medicina Humana
2316,100063769,1,2,NO,0,4,NO,Ingeniería Ambiental
2317,100063783,1,1,NO,1,3,NO,Medicina Humana
2318,100063789,2,1,NO,0,4,NO,Medicina Humana
2319,100063791,2,2,NO,0,3,NO,Medicina Humana
2320,100063792,2,2,SI,2,2,SI,Medicina Humana
2321,100063793,1,1,NO,0,1,NO,Medicina Humana
2322,100063800,2,1,NO,1,5,NO,Medicina Humana
2323,100063802,0,0,NO,0,4,NO,Medicina Humana
2324,100063803,2,2,SI,2,2,SI,Medicina Humana
2325,100063806,0,0,NO,0,6,NO,Estomatología
2326,100063811,2,1,NO,1,2,SI,Medicina Humana
2327,100063816,2,3,NO,0,4,NO,Medicina Humana
2328,100063821,0,3,NO,0,6,NO,Biología Marina
2329,100063822,3,0,NO,0,5,NO,Medicina Humana
2330,100063849,1,0,NO,0,6,NO,Medic Veterinaria y Zootecnia
2331,100063852,2,2,NO,0,7,NO,Ing. Económica y de Negocios
2332,100063893,1,2,NO,0,7,NO,Medic Veterinaria y Zootecnia
2333,100063894,1,1,SI,1,4,NO,Biología Marina
2334,100063896,0,1,NO,0,4,NO,Medicina Humana
2335,100063912,2,2,SI,2,3,SI,Medicina Humana
2336,100063914,2,1,NO,0,2,NO,Medicina Humana
2337,100063915,1,0,NO,0,3,NO,Medicina Humana
2338,100063917,2,1,NO,0,3,NO,Medicina Humana
2339,100063926,0,0,NO,0,6,NO,Marketing y Administración
2340,100063929,1,2,NO,0,5,NO,Medicina Humana
2341,100063938,2,1,NO,0,5,NO,Ingeniería Ambiental
2342,100064009,1,1,NO,1,2,SI,Medicina Humana
2343,100064010,2,3,NO,1,4,NO,Estomatología
2344,100064024,3,2,NO,0,3,NO,Medicina Humana
2345,100064030,2,3,NO,0,3,NO,Medicina Humana
2346,100064032,1,1,NO,0,3,NO,Medicina Humana
2347,100064036,0,1,NO,0,5,NO,Medicina Humana
2348,100064040,1,1,NO,0,2,NO,Medicina Humana
2349,100064042,1,1,NO,0,3,NO,Medicina Humana
2350,100064049,2,0,NO,0,4,NO,Medicina Humana
2351,100064051,3,3,NO,0,6,NO,Medicina Humana
2352,100064063,3,1,NO,0,5,NO,Medic Veterinaria y Zootecnia
