IdAlumno,Prediccion,Prediccion_Probabilidad,Edad,Genero,Distrito,Provincia,Departamento,FamiliarResponsable,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,GrupoEdad,ExcedePagosAtrasados,TipoColegio,Desercion
100140485,1,0.5129489350066644,19.0,F,COMAS,LIMA ,LIMA,Alumno,5,3,SI,NO,Entre18y25,0.0,PRIV,1
100140505,1,0.7064669583984426,19.0,M,LURIN,LIMA ,LIMA,Madre,2,3,SI,NO,Entre18y25,0.0,PRIV,0
100140512,0,0.29902754606508036,22.0,M,SAN MARTÍN DE PORRES,LIMA ,LIMA,Alumno,2,2,NO,NO,Entre18y25,0.0,PRIV,0
100140514,0,0.03700723189422787,21.0,M,SANTA ANITA,LIMA ,LIMA,Alumno,2,2,NO,NO,Entre18y25,0.0,PRIV,0
100140518,0,0.2461836088302603,18.0,M,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Madre,1,1,SI,NO,MenosDe18,0.0,PRIV,0
100140520,0,0.234929898061187,18.0,F,PUNTA NEGRA,LIMA ,LIMA,Padre,2,0,NO,NO,MenosDe18,0.0,PRIV,0
100140539,1,0.9434408295559384,19.0,M,CHORRILLOS,LIMA ,LIMA,Alumno,3,6,SI,NO,Entre18y25,0.0,PUBL,1
100140542,0,0.2940911892300335,18.0,M,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Apoderado,0,0,NO,NO,MenosDe18,1.0,PRIV,0
100140551,0,0.3582057037124354,23.0,M,CARABAYLLO,LIMA ,LIMA,Alumno,1,0,NO,NO,Entre18y25,0.0,PRIV,1
100140555,0,0.10718458837295303,18.0,M,EL AGUSTINO,LIMA ,LIMA,Madre,1,1,SI,NO,MenosDe18,0.0,PRIV,0
100140556,0,0.3724190719537714,18.0,M,SANTIAGO DE SURCO,LIMA ,LIMA,Apoderado,1,0,NO,NO,MenosDe18,1.0,PRIV,0
100140557,0,0.23262921496187627,18.0,M,PUENTE PIEDRA,LIMA ,LIMA,Madre,2,0,NO,NO,MenosDe18,0.0,PRIV,0
100140558,0,0.18087262791468392,18.0,F,AYACUCHO,HUAMANGA,AYACUCHO,Apoderado,2,1,NO,NO,MenosDe18,0.0,PRIV,0
100140563,0,0.11264493283265183,19.0,M,PUENTE PIEDRA,LIMA ,LIMA,Alumno,0,1,NO,NO,Entre18y25,0.0,PRIV,0
100140569,0,0.16851574678891582,19.0,F,CHORRILLOS,LIMA ,LIMA,Alumno,2,1,NO,NO,Entre18y25,0.0,PRIV,0
100140570,0,0.21957534548541133,17.0,M,CHORRILLOS,LIMA ,LIMA,Madre,1,0,NO,NO,MenosDe18,0.0,PRIV,0
100140571,0,0.11711729389672701,19.0,M,ATE,LIMA ,LIMA,Alumno,0,1,SI,NO,Entre18y25,0.0,PRIV,0
